"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL258336";"";"None";"247.38";"0";"3.28";"14";"CO[C@]1(c2ccccc2)CCCC[C@@H]1CN(C)C";"IC50";"'='";"2534.0";"nM";"5.60";"";"";"UO_0000065";"22.62";"0.42";"2.32";"44.88";"0";"CHEMBL948140";"Inhibition of SERT mediated 5-hydroxytryptamine uptake";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL228";"Sodium-dependent serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141623";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"2534.0"
"CHEMBL270570";"";"None";"305.46";"0";"4.16";"11";"CCCCO[C@]1(c2cccc(O)c2)CCCC[C@@H]1CN(C)C";"IC50";"'='";"2744.0";"nM";"5.56";"";"";"UO_0000065";"18.21";"0.35";"1.40";"17.01";"0";"CHEMBL948140";"Inhibition of SERT mediated 5-hydroxytryptamine uptake";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL228";"Sodium-dependent serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141623";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"2744.0"
"CHEMBL258140";"";"None";"319.49";"0";"4.46";"6";"CCCCO[C@]1(c2cccc(OC)c2)CCCC[C@@H]1CN(C)C";"IC50";"'='";"110.0";"nM";"6.96";"";"";"UO_0000065";"21.78";"0.41";"2.50";"32.07";"0";"CHEMBL948140";"Inhibition of SERT mediated 5-hydroxytryptamine uptake";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL228";"Sodium-dependent serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141623";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"110.0"
"CHEMBL256227";"";"None";"305.46";"0";"4.07";"5";"CCCO[C@]1(c2cccc(OC)c2)CCCC[C@@H]1CN(C)C";"IC50";"'='";"25.0";"nM";"7.60";"";"";"UO_0000065";"24.89";"0.47";"3.53";"35.03";"0";"CHEMBL948140";"Inhibition of SERT mediated 5-hydroxytryptamine uptake";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL228";"Sodium-dependent serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141623";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"25.0"
"CHEMBL1175";"DULOXETINE";"4.0";"297.42";"0";"4.63";"2";"CNCC[C@H](Oc1cccc2ccccc12)c1cccs1";"IC50";"'='";"3.0";"nM";"8.52";"";"";"UO_0000065";"28.66";"0.55";"3.89";"40.09";"1";"CHEMBL1115566";"Inhibition of human SERT expressed in human JAR cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"JAR";"None";"";"";"";"CHEMBL228";"Sodium-dependent serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1158540";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307657";"";"";"";"3.0"
"CHEMBL5935569";"";"None";"373.76";"0";"4.17";"BDBM396417";"FC(F)(F)Oc1ccc(COc2ccc(Cl)cc2OC2CNC2)cc1";"Ki";"'='";"578.0";"nM";"6.24";"";"792048";"UO_0000065";"16.69";"0.34";"2.07";"15.71";"0";"CHEMBL5733968";"Binding Assay: Receptor binding was performed using membrane fractions prepared from the HEK-293 cell line recombinantly expressing rat 5-HT7 receptors (NCBI accession NM_022938). Compound affinity for the rat 5-HT7 receptor subtype was evaluated by competitive radioligand binding assays using 5-carboxamido[3H]tryptamine ([3H]5-CT) (Amersham Biosciences, cat. 90000403) detection. HitHunter cAMP assays are in-vitro based competitive immunoassays. The assay was performed on the HEK-293 cell line stably transfected with r5-HT7 receptor. Cells were pre-incubated with test compounds for 10 minutes. For antagonist testing, the cells were then challenged with 100 nM 5-CT for 20 minutes. Cells were then lysed and cAMP measured according to manufacturers protocol (Amersham, cat. NET791250UC) or [3H]mesulergine (Amersham, cat. TRK1041). The assay was performed on membranes prepared from HEK-293 cells stably transfected with h5-HT6. Following centrifugation, membranes were resuspended and incubated for 60 min at room temperature with 1.7 nM [3H]LSD in the presence of increasing concentration of test compounds. Nonspecific binding was defined in the presence of 10 μM clozapine (Tocris, cat. TRK1068). Homogenized HEK-293 membranes expressing the human SERT were incubated in 50 mM Tris-HCl (pH 7.5), 120 mM NaCl, 5 mM KCl with [3H]-citalopram (3 nM) with or without test compounds. Nonspecific binding was determined in the presence of 10 μM fluoxetine. Radioactivity readouts and Ki values were performed as previously described for r5-HT7.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL228";"Sodium-dependent serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5727074";"37";"BindingDB Patent Bioactivity Data";"";"2018";"None";"";"";"";"578.0"
"CHEMBL6043799";"";"None";"290.75";"0";"2.66";"BDBM396428";"Clc1ccc(OCc2ccncc2)c(OC2CNC2)c1";"Ki";"'='";"464.0";"nM";"6.33";"";"792067";"UO_0000065";"21.78";"0.43";"3.67";"14.60";"0";"CHEMBL5733968";"Binding Assay: Receptor binding was performed using membrane fractions prepared from the HEK-293 cell line recombinantly expressing rat 5-HT7 receptors (NCBI accession NM_022938). Compound affinity for the rat 5-HT7 receptor subtype was evaluated by competitive radioligand binding assays using 5-carboxamido[3H]tryptamine ([3H]5-CT) (Amersham Biosciences, cat. 90000403) detection. HitHunter cAMP assays are in-vitro based competitive immunoassays. The assay was performed on the HEK-293 cell line stably transfected with r5-HT7 receptor. Cells were pre-incubated with test compounds for 10 minutes. For antagonist testing, the cells were then challenged with 100 nM 5-CT for 20 minutes. Cells were then lysed and cAMP measured according to manufacturers protocol (Amersham, cat. NET791250UC) or [3H]mesulergine (Amersham, cat. TRK1041). The assay was performed on membranes prepared from HEK-293 cells stably transfected with h5-HT6. Following centrifugation, membranes were resuspended and incubated for 60 min at room temperature with 1.7 nM [3H]LSD in the presence of increasing concentration of test compounds. Nonspecific binding was defined in the presence of 10 μM clozapine (Tocris, cat. TRK1068). Homogenized HEK-293 membranes expressing the human SERT were incubated in 50 mM Tris-HCl (pH 7.5), 120 mM NaCl, 5 mM KCl with [3H]-citalopram (3 nM) with or without test compounds. Nonspecific binding was determined in the presence of 10 μM fluoxetine. Radioactivity readouts and Ki values were performed as previously described for r5-HT7.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL228";"Sodium-dependent serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5727074";"37";"BindingDB Patent Bioactivity Data";"";"2018";"None";"";"";"";"464.0"
"CHEMBL2171417";"";"None";"325.84";"0";"4.18";"6be";"Cl.c1ccc(OC(c2ccc3ccccc3c2)C2CNC2)cc1";"IC50";"'='";"8.3";"nM";"8.08";"";"";"UO_0000065";"27.92";"0.50";"3.90";"38.01";"0";"CHEMBL2174645";"Inhibition of human SERT expressed in HEK293 cells assessed as inhibition of serotonin reuptake after 30 mins by fluorescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Sodium-dependent serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2169882";"1";"Scientific Literature";"J Med Chem";"2012";"CHEMBL3307715";"";"";"";"8.3"
"CHEMBL5817730";"";"None";"310.22";"0";"4.03";"BDBM388519";"CNCC(c1ccc(Cl)c(Cl)c1)[C@H](O)c1ccccc1";"Ki";"'='";"17.3";"nM";"7.76";"";"776275";"UO_0000065";"25.02";"0.53";"3.73";"24.06";"0";"CHEMBL5733768";"Uptake Assay Protocol: SERT: This protocol was designed to measure inhibition of uptake by the human serotonin transporter. The reagents were human SERT (HEK293F) cells, fluoxetine (Sigma), nomifensine, neurotransmitter transporter uptake assay kit (Molecular Devices), freestyle 293 expression medium (Invitrogen), 10× Hank's Balanced Salt Solution (HBSS; Invitrogen), 1 M HEPES (Mediatech), Biocoat poly-D-lysine 96-well, black, clear plates (Becton, Dickinson), and 500 μL polypropylene U-bottom 96-well plates (Fisher). The Assay Buffer (AB) was 1λ HBSS and 0.02 M HEPES.The HEK293F cells were transfected with the human serotonin transporter and frozen in 1 mL aliquots at about 1E+07 cells/mL. On the day of the experiment, the cells were removed from −80° C. or liquid nitrogen and thawed in a room temperature water bath. The cells were dilute to about 1-2E+06 with Freestyle medium. A 1 mL sample (1:2 dilution) was prepared, and the cells were counted. The cells were spun at 1100 rpm for 5 minutes, and the medium was aspirated off. The cells were resuspend in medium at 1.5E+06 cells/mL for about 60,000 cells per well. 40 μL of cells were dispensed per well in the Biocoat plates. The plates were spun at 1100 rpm for 1 minute to improve homogeneity of the cell layer and were incubated at 37° C. for a minimum of 3 hours.";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL228";"Sodium-dependent serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5726960";"37";"BindingDB Patent Bioactivity Data";"";"2018";"None";"";"";"";"17.3"
"CHEMBL6049222";"";"None";"319.45";"0";"4.39";"BDBM388552";"CN(C)CC(C)(c1ccc2ccccc2c1)C(O)c1ccccc1";"Ki";"'='";"2.7";"nM";"8.57";"";"776449";"UO_0000065";"26.82";"0.49";"4.18";"36.51";"0";"CHEMBL5733768";"Uptake Assay Protocol: SERT: This protocol was designed to measure inhibition of uptake by the human serotonin transporter. The reagents were human SERT (HEK293F) cells, fluoxetine (Sigma), nomifensine, neurotransmitter transporter uptake assay kit (Molecular Devices), freestyle 293 expression medium (Invitrogen), 10× Hank's Balanced Salt Solution (HBSS; Invitrogen), 1 M HEPES (Mediatech), Biocoat poly-D-lysine 96-well, black, clear plates (Becton, Dickinson), and 500 μL polypropylene U-bottom 96-well plates (Fisher). The Assay Buffer (AB) was 1λ HBSS and 0.02 M HEPES.The HEK293F cells were transfected with the human serotonin transporter and frozen in 1 mL aliquots at about 1E+07 cells/mL. On the day of the experiment, the cells were removed from −80° C. or liquid nitrogen and thawed in a room temperature water bath. The cells were dilute to about 1-2E+06 with Freestyle medium. A 1 mL sample (1:2 dilution) was prepared, and the cells were counted. The cells were spun at 1100 rpm for 5 minutes, and the medium was aspirated off. The cells were resuspend in medium at 1.5E+06 cells/mL for about 60,000 cells per well. 40 μL of cells were dispensed per well in the Biocoat plates. The plates were spun at 1100 rpm for 1 minute to improve homogeneity of the cell layer and were incubated at 37° C. for a minimum of 3 hours.";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL228";"Sodium-dependent serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5726960";"37";"BindingDB Patent Bioactivity Data";"";"2018";"None";"";"";"";"2.7"
